utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
61 %, 28 %, 15360 MiB, 1952 MiB, 12957 MiB
57 %, 20 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 65 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 60 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 70 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
18 %, 27 %, 15360 MiB, 1952 MiB, 12957 MiB
56 %, 53 %, 15360 MiB, 1952 MiB, 12957 MiB
26 %, 30 %, 15360 MiB, 1952 MiB, 12957 MiB
55 %, 46 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
89 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 67 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 64 %, 15360 MiB, 1952 MiB, 12957 MiB
86 %, 53 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
10 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
71 %, 9 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 65 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 69 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
63 %, 29 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 68 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 70 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
83 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
97 %, 56 %, 15360 MiB, 1952 MiB, 12957 MiB
86 %, 52 %, 15360 MiB, 1952 MiB, 12957 MiB
97 %, 47 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 72 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 67 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 74 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
99 %, 67 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
99 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 70 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
58 %, 20 %, 15360 MiB, 1952 MiB, 12957 MiB
59 %, 22 %, 15360 MiB, 1952 MiB, 12957 MiB
57 %, 21 %, 15360 MiB, 1952 MiB, 12957 MiB
58 %, 16 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 59 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 51 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 62 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 43 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
99 %, 71 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 75 %, 15360 MiB, 1952 MiB, 12957 MiB
99 %, 71 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 74 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 63 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 65 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 69 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
81 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
96 %, 55 %, 15360 MiB, 1952 MiB, 12957 MiB
86 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
96 %, 45 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 73 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 69 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 73 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 63 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 65 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 65 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 68 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
87 %, 58 %, 15360 MiB, 1952 MiB, 12957 MiB
99 %, 56 %, 15360 MiB, 1952 MiB, 12957 MiB
89 %, 52 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 44 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 66 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 62 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 70 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 68 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 70 %, 15360 MiB, 1952 MiB, 12957 MiB
61 %, 54 %, 15360 MiB, 1952 MiB, 12957 MiB
33 %, 40 %, 15360 MiB, 1952 MiB, 12957 MiB
64 %, 52 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 63 %, 15360 MiB, 1952 MiB, 12957 MiB
86 %, 48 %, 15360 MiB, 1952 MiB, 12957 MiB
91 %, 53 %, 15360 MiB, 1952 MiB, 12957 MiB
69 %, 32 %, 15360 MiB, 1952 MiB, 12957 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
12 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
62 %, 12 %, 15360 MiB, 13804 MiB, 1105 MiB
97 %, 19 %, 15360 MiB, 13804 MiB, 1105 MiB
59 %, 12 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
9 %, 0 %, 15360 MiB, 1952 MiB, 12957 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
100 %, 0 %, 15360 MiB, 13804 MiB, 1105 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
36 %, 1 %, 15360 MiB, 13066 MiB, 1843 MiB
2 %, 0 %, 15360 MiB, 14092 MiB, 817 MiB
1 %, 0 %, 15360 MiB, 14094 MiB, 815 MiB
2 %, 0 %, 15360 MiB, 14094 MiB, 815 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
100 %, 0 %, 15360 MiB, 13066 MiB, 1843 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
0 %, 0 %, 15360 MiB, 14907 MiB, 2 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
